Epoch 24 | Batch 10/100 | Loss 0.000014
Epoch 24 | Batch 20/100 | Loss 0.000262
Epoch 24 | Batch 30/100 | Loss 0.000184
Epoch 24 | Batch 40/100 | Loss 0.000145
Epoch 24 | Batch 50/100 | Loss 0.000119
Epoch 24 | Batch 60/100 | Loss 0.000104
Epoch 24 | Batch 70/100 | Loss 0.000093
Epoch 24 | Batch 80/100 | Loss 0.000086
Epoch 24 | Batch 90/100 | Loss 0.000083
100 Test Acc = 71.01% +- 1.42%
Epoch 25 | Batch 0/100 | Loss 0.000031
Epoch 25 | Batch 10/100 | Loss 0.000015
Epoch 25 | Batch 20/100 | Loss 0.000030
Epoch 25 | Batch 30/100 | Loss 0.000030
Epoch 25 | Batch 40/100 | Loss 0.000030
Epoch 25 | Batch 50/100 | Loss 0.000029
Epoch 25 | Batch 60/100 | Loss 0.000028
Epoch 25 | Batch 70/100 | Loss 0.000030
Epoch 25 | Batch 80/100 | Loss 0.000033
Epoch 25 | Batch 90/100 | Loss 0.000033
100 Test Acc = 72.15% +- 1.28%
Epoch 26 | Batch 0/100 | Loss 0.000001
Epoch 26 | Batch 10/100 | Loss 0.000022
Epoch 26 | Batch 20/100 | Loss 0.000024
Epoch 26 | Batch 30/100 | Loss 0.000039
Epoch 26 | Batch 40/100 | Loss 0.000038
Epoch 26 | Batch 50/100 | Loss 0.000034
Epoch 26 | Batch 60/100 | Loss 0.000045
Epoch 26 | Batch 70/100 | Loss 0.000043
Epoch 26 | Batch 80/100 | Loss 0.000040
Epoch 26 | Batch 90/100 | Loss 0.000045
100 Test Acc = 71.40% +- 1.13%
Epoch 27 | Batch 0/100 | Loss 0.000003
Epoch 27 | Batch 10/100 | Loss 0.000017
Epoch 27 | Batch 20/100 | Loss 0.000018
Epoch 27 | Batch 30/100 | Loss 0.000024
Epoch 27 | Batch 40/100 | Loss 0.000026
Epoch 27 | Batch 50/100 | Loss 0.000027
Epoch 27 | Batch 60/100 | Loss 0.000025
Epoch 27 | Batch 70/100 | Loss 0.000024
Epoch 27 | Batch 80/100 | Loss 0.000023
Epoch 27 | Batch 90/100 | Loss 0.000023
100 Test Acc = 71.69% +- 1.34%
Epoch 28 | Batch 0/100 | Loss 0.000027
Epoch 28 | Batch 10/100 | Loss 0.000080
Epoch 28 | Batch 20/100 | Loss 0.000047
Epoch 28 | Batch 30/100 | Loss 0.000038
Epoch 28 | Batch 40/100 | Loss 0.000032
Epoch 28 | Batch 50/100 | Loss 0.000028
Epoch 28 | Batch 60/100 | Loss 0.000026
Epoch 28 | Batch 70/100 | Loss 0.000034
Epoch 28 | Batch 80/100 | Loss 0.000032
Epoch 28 | Batch 90/100 | Loss 0.000029
100 Test Acc = 72.49% +- 1.19%
Epoch 29 | Batch 0/100 | Loss 0.000050
Epoch 29 | Batch 10/100 | Loss 0.000018
Epoch 29 | Batch 20/100 | Loss 0.000017
Epoch 29 | Batch 30/100 | Loss 0.000014
Epoch 29 | Batch 40/100 | Loss 0.000015
Epoch 29 | Batch 50/100 | Loss 0.000018
Epoch 29 | Batch 60/100 | Loss 0.000016
Epoch 29 | Batch 70/100 | Loss 0.000015
Epoch 29 | Batch 80/100 | Loss 0.000016
Epoch 29 | Batch 90/100 | Loss 0.000015
100 Test Acc = 72.33% +- 1.17%
Epoch 30 | Batch 0/100 | Loss 0.000012
Epoch 30 | Batch 10/100 | Loss 0.000017
Epoch 30 | Batch 20/100 | Loss 0.000023
Epoch 30 | Batch 30/100 | Loss 0.000018
Epoch 30 | Batch 40/100 | Loss 0.000018
Epoch 30 | Batch 50/100 | Loss 0.000016
Epoch 30 | Batch 60/100 | Loss 0.000016
Epoch 30 | Batch 70/100 | Loss 0.000015
Epoch 30 | Batch 80/100 | Loss 0.000015
Epoch 30 | Batch 90/100 | Loss 0.000014
100 Test Acc = 73.14% +- 1.23%
Epoch 31 | Batch 0/100 | Loss 0.000014
Epoch 31 | Batch 10/100 | Loss 0.000047
Epoch 31 | Batch 20/100 | Loss 0.000042
Epoch 31 | Batch 30/100 | Loss 0.000035
Epoch 31 | Batch 40/100 | Loss 0.000029
Epoch 31 | Batch 50/100 | Loss 0.000027
Epoch 31 | Batch 60/100 | Loss 0.000030
Epoch 31 | Batch 70/100 | Loss 0.000032
Epoch 31 | Batch 80/100 | Loss 0.000031
Epoch 31 | Batch 90/100 | Loss 0.000028
100 Test Acc = 71.29% +- 0.97%
Epoch 32 | Batch 0/100 | Loss 0.000020
Epoch 32 | Batch 10/100 | Loss 0.000024
Epoch 32 | Batch 20/100 | Loss 0.000019
Epoch 32 | Batch 30/100 | Loss 0.000015
Epoch 32 | Batch 40/100 | Loss 0.000013
Epoch 32 | Batch 50/100 | Loss 0.000013
Epoch 32 | Batch 60/100 | Loss 0.000014
Epoch 32 | Batch 70/100 | Loss 0.000015
Epoch 32 | Batch 80/100 | Loss 0.000015
Epoch 32 | Batch 90/100 | Loss 0.000015
100 Test Acc = 72.56% +- 1.13%
Epoch 33 | Batch 0/100 | Loss 0.000020
Epoch 33 | Batch 10/100 | Loss 0.000035
Epoch 33 | Batch 20/100 | Loss 0.000023
Epoch 33 | Batch 30/100 | Loss 0.000019
Epoch 33 | Batch 40/100 | Loss 0.000038
Epoch 33 | Batch 50/100 | Loss 0.000032
Epoch 33 | Batch 60/100 | Loss 0.000030
Epoch 33 | Batch 70/100 | Loss 0.000027
Epoch 33 | Batch 80/100 | Loss 0.000025
Epoch 33 | Batch 90/100 | Loss 0.000023
100 Test Acc = 70.91% +- 1.13%
Epoch 34 | Batch 0/100 | Loss 0.000000
Epoch 34 | Batch 10/100 | Loss 0.000020
Epoch 34 | Batch 20/100 | Loss 0.000012
Epoch 34 | Batch 30/100 | Loss 0.000016
Epoch 34 | Batch 40/100 | Loss 0.000015
Epoch 34 | Batch 50/100 | Loss 0.000015
Epoch 34 | Batch 60/100 | Loss 0.000015
Epoch 34 | Batch 70/100 | Loss 0.000015
Epoch 34 | Batch 80/100 | Loss 0.000015
Epoch 34 | Batch 90/100 | Loss 0.000015
100 Test Acc = 72.25% +- 1.21%
Epoch 35 | Batch 0/100 | Loss 0.000001
Epoch 35 | Batch 10/100 | Loss 0.000011
Epoch 35 | Batch 20/100 | Loss 0.000009
Epoch 35 | Batch 30/100 | Loss 0.000010
Epoch 35 | Batch 40/100 | Loss 0.000010
Epoch 35 | Batch 50/100 | Loss 0.000011
Epoch 35 | Batch 60/100 | Loss 0.000012
Epoch 35 | Batch 70/100 | Loss 0.000012
Epoch 35 | Batch 80/100 | Loss 0.000014
Epoch 35 | Batch 90/100 | Loss 0.000013
100 Test Acc = 71.10% +- 1.22%
Epoch 36 | Batch 0/100 | Loss 0.000010
Epoch 36 | Batch 10/100 | Loss 0.000007
Epoch 36 | Batch 20/100 | Loss 0.000010
Epoch 36 | Batch 30/100 | Loss 0.000010
Epoch 36 | Batch 40/100 | Loss 0.000009
Epoch 36 | Batch 50/100 | Loss 0.000009
Epoch 36 | Batch 60/100 | Loss 0.000060
Epoch 36 | Batch 70/100 | Loss 0.000153
Epoch 36 | Batch 80/100 | Loss 0.000135
Epoch 36 | Batch 90/100 | Loss 0.000122
100 Test Acc = 71.35% +- 1.44%
Epoch 37 | Batch 0/100 | Loss 0.000019
Epoch 37 | Batch 10/100 | Loss 0.000015
Epoch 37 | Batch 20/100 | Loss 0.005359
Epoch 37 | Batch 30/100 | Loss 0.008192
Epoch 37 | Batch 40/100 | Loss 0.007825
Epoch 37 | Batch 50/100 | Loss 0.022731
Epoch 37 | Batch 60/100 | Loss 0.075475
Epoch 37 | Batch 70/100 | Loss 0.124410
Epoch 37 | Batch 80/100 | Loss 0.167635
Epoch 37 | Batch 90/100 | Loss 0.192496
100 Test Acc = 71.21% +- 1.21%
Epoch 38 | Batch 0/100 | Loss 0.142412
Epoch 38 | Batch 10/100 | Loss 0.203782
Epoch 38 | Batch 20/100 | Loss 0.126026
Epoch 38 | Batch 30/100 | Loss 0.110358
Epoch 38 | Batch 40/100 | Loss 0.089348
Epoch 38 | Batch 50/100 | Loss 0.073780
Epoch 38 | Batch 60/100 | Loss 0.065860
Epoch 38 | Batch 70/100 | Loss 0.057477
Epoch 38 | Batch 80/100 | Loss 0.050845
Epoch 38 | Batch 90/100 | Loss 0.045552
100 Test Acc = 73.58% +- 1.27%
Epoch 39 | Batch 0/100 | Loss 0.007456
Epoch 39 | Batch 10/100 | Loss 0.006155
Epoch 39 | Batch 20/100 | Loss 0.004072
Epoch 39 | Batch 30/100 | Loss 0.003561
Epoch 39 | Batch 40/100 | Loss 0.008299
Epoch 39 | Batch 50/100 | Loss 0.030728
Epoch 39 | Batch 60/100 | Loss 0.027438
Epoch 39 | Batch 70/100 | Loss 0.023960
Epoch 39 | Batch 80/100 | Loss 0.021835
Epoch 39 | Batch 90/100 | Loss 0.019961
100 Test Acc = 71.42% +- 1.34%
Epoch 40 | Batch 0/100 | Loss 0.001705
Epoch 40 | Batch 10/100 | Loss 0.003410
Epoch 40 | Batch 20/100 | Loss 0.002737
Epoch 40 | Batch 30/100 | Loss 0.001907
Epoch 40 | Batch 40/100 | Loss 0.003215
Epoch 40 | Batch 50/100 | Loss 0.002741
Epoch 40 | Batch 60/100 | Loss 0.002995
Epoch 40 | Batch 70/100 | Loss 0.002642
Epoch 40 | Batch 80/100 | Loss 0.002380
Epoch 40 | Batch 90/100 | Loss 0.002217
100 Test Acc = 68.95% +- 1.56%
Epoch 41 | Batch 0/100 | Loss 0.000120
Epoch 41 | Batch 10/100 | Loss 0.000168
